"title","rating","rating_description"
"Academy Dinosaur","PG","Parental Guidance Suggested"
"Ace Goldfinger","G","General Audiences"
"Adaptation Holes","NC-17","Adults Only"
"Affair Prejudice","G","General Audiences"
"African Egg","G","General Audiences"
"Agent Truman","PG","Parental Guidance Suggested"
"Airplane Sierra","PG-13","Parents Strongly Cautioned"
"Airport Pollock","R","Restricted"
"Alabama Devil","PG-13","Parents Strongly Cautioned"
"Aladdin Calendar","NC-17","Adults Only"
"Alamo Videotape","G","General Audiences"
"Alaska Phantom","PG","Parental Guidance Suggested"
"Ali Forever","PG","Parental Guidance Suggested"
"Alice Fantasia","NC-17","Adults Only"
"Alien Center","NC-17","Adults Only"
"Alley Evolution","NC-17","Adults Only"
"Alone Trip","R","Restricted"
"Alter Victory","PG-13","Parents Strongly Cautioned"
"Amadeus Holy","PG","Parental Guidance Suggested"
"Amelie Hellfighters","R","Restricted"
"American Circus","R","Restricted"
"Amistad Midsummer","G","General Audiences"
"Anaconda Confessions","R","Restricted"
"Analyze Hoosiers","R","Restricted"
"Angels Life","G","General Audiences"
"Annie Identity","G","General Audiences"
"Anonymous Human","NC-17","Adults Only"
"Anthem Luke","PG-13","Parents Strongly Cautioned"
"Antitrust Tomatoes","NC-17","Adults Only"
"Anything Savannah","R","Restricted"
"Apache Divine","NC-17","Adults Only"
"Apocalypse Flamingos","R","Restricted"
"Apollo Teen","PG-13","Parents Strongly Cautioned"
"Arabia Dogma","NC-17","Adults Only"
"Arachnophobia Rollercoaster","PG-13","Parents Strongly Cautioned"
"Argonauts Town","PG-13","Parents Strongly Cautioned"
"Arizona Bang","PG","Parental Guidance Suggested"
"Ark Ridgemont","NC-17","Adults Only"
"Armageddon Lost","G","General Audiences"
"Army Flintstones","R","Restricted"
"Arsenic Independence","PG","Parental Guidance Suggested"
"Artist Coldblooded","NC-17","Adults Only"
"Atlantis Cause","G","General Audiences"
"Attacks Hate","PG-13","Parents Strongly Cautioned"
"Attraction Newton","PG-13","Parents Strongly Cautioned"
"Autumn Crow","G","General Audiences"
"Baby Hall","NC-17","Adults Only"
"Backlash Undefeated","PG-13","Parents Strongly Cautioned"
"Badman Dawn","R","Restricted"
"Baked Cleopatra","G","General Audiences"
"Balloon Homeward","NC-17","Adults Only"
"Ballroom Mockingbird","G","General Audiences"
"Bang Kwai","NC-17","Adults Only"
"Banger Pinocchio","R","Restricted"
"Barbarella Streetcar","G","General Audiences"
"Barefoot Manchurian","G","General Audiences"
"Basic Easy","PG-13","Parents Strongly Cautioned"
"Beach Heartbreakers","G","General Audiences"
"Bear Graceland","R","Restricted"
"Beast Hunchback","R","Restricted"
"Beauty Grease","G","General Audiences"
"Bed Highball","NC-17","Adults Only"
"Bedazzled Married","PG","Parental Guidance Suggested"
"Beethoven Exorcist","PG-13","Parents Strongly Cautioned"
"Behavior Runaway","PG","Parental Guidance Suggested"
"Beneath Rush","NC-17","Adults Only"
"Berets Agent","PG-13","Parents Strongly Cautioned"
"Betrayed Rear","NC-17","Adults Only"
"Beverly Outlaw","R","Restricted"
"Bikini Borrowers","NC-17","Adults Only"
"Bilko Anonymous","PG-13","Parents Strongly Cautioned"
"Bill Others","PG","Parental Guidance Suggested"
"Bingo Talented","PG-13","Parents Strongly Cautioned"
"Birch Antitrust","PG","Parental Guidance Suggested"
"Bird Independence","G","General Audiences"
"Birdcage Casper","NC-17","Adults Only"
"Birds Perdition","G","General Audiences"
"Blackout Private","PG","Parental Guidance Suggested"
"Blade Polish","PG-13","Parents Strongly Cautioned"
"Blanket Beverly","G","General Audiences"
"Blindness Gun","PG-13","Parents Strongly Cautioned"
"Blood Argonauts","G","General Audiences"
"Blues Instinct","G","General Audiences"
"Boiled Dares","PG","Parental Guidance Suggested"
"Bonnie Holocaust","G","General Audiences"
"Boogie Amelie","R","Restricted"
"Boondock Ballroom","NC-17","Adults Only"
"Born Spinal","PG","Parental Guidance Suggested"
"Borrowers Bedazzled","G","General Audiences"
"Boulevard Mob","R","Restricted"
"Bound Cheaper","PG","Parental Guidance Suggested"
"Bowfinger Gables","NC-17","Adults Only"
"Brannigan Sunrise","PG","Parental Guidance Suggested"
"Braveheart Human","PG-13","Parents Strongly Cautioned"
"Breakfast Goldfinger","G","General Audiences"
"Breaking Home","PG-13","Parents Strongly Cautioned"
"Bride Intrigue","G","General Audiences"
"Bright Encounters","PG-13","Parents Strongly Cautioned"
"Bringing Hysterical","PG","Parental Guidance Suggested"
"Brooklyn Desert","R","Restricted"
"Brotherhood Blanket","R","Restricted"
"Bubble Grosse","R","Restricted"
"Bucket Brotherhood","PG","Parental Guidance Suggested"
"Bugsy Song","G","General Audiences"
"Bull Shawshank","NC-17","Adults Only"
"Bulworth Commandments","G","General Audiences"
"Bunch Minds","G","General Audiences"
"Butch Panther","PG-13","Parents Strongly Cautioned"
"Butterfly Chocolat","G","General Audiences"
"Cabin Flash","NC-17","Adults Only"
"Caddyshack Jedi","NC-17","Adults Only"
"Calendar Gunfight","NC-17","Adults Only"
"California Birds","NC-17","Adults Only"
"Camelot Vacation","NC-17","Adults Only"
"Campus Remember","R","Restricted"
"Candidate Perdition","R","Restricted"
"Candles Grapes","NC-17","Adults Only"
"Canyon Stock","R","Restricted"
"Caper Motions","G","General Audiences"
"Caribbean Liberty","NC-17","Adults Only"
"Carol Texas","PG","Parental Guidance Suggested"
"Carrie Bunch","PG","Parental Guidance Suggested"
"Casablanca Super","G","General Audiences"
"Casper Dragonfly","PG-13","Parents Strongly Cautioned"
"Cassidy Wyoming","NC-17","Adults Only"
"Casualties Encino","G","General Audiences"
"Cat Coneheads","G","General Audiences"
"Catch Amistad","G","General Audiences"
"Cause Date","R","Restricted"
"Celebrity Horn","PG-13","Parents Strongly Cautioned"
"Center Dinosaur","PG","Parental Guidance Suggested"
"Chainsaw Uptown","PG","Parental Guidance Suggested"
"Chamber Italian","NC-17","Adults Only"
"Champion Flatliners","PG","Parental Guidance Suggested"
"Chance Resurrection","R","Restricted"
"Chaplin License","NC-17","Adults Only"
"Charade Duffel","PG","Parental Guidance Suggested"
"Chariots Conspiracy","R","Restricted"
"Chasing Fight","PG","Parental Guidance Suggested"
"Cheaper Clyde","G","General Audiences"
"Chicago North","PG-13","Parents Strongly Cautioned"
"Chicken Hellfighters","PG","Parental Guidance Suggested"
"Chill Luck","PG","Parental Guidance Suggested"
"Chinatown Gladiator","PG","Parental Guidance Suggested"
"Chisum Behavior","G","General Audiences"
"Chitty Lock","G","General Audiences"
"Chocolat Harry","NC-17","Adults Only"
"Chocolate Duck","R","Restricted"
"Christmas Moonshine","NC-17","Adults Only"
"Cider Desire","PG","Parental Guidance Suggested"
"Cincinatti Whisperer","NC-17","Adults Only"
"Circus Youth","PG-13","Parents Strongly Cautioned"
"Citizen Shrek","G","General Audiences"
"Clash Freddy","G","General Audiences"
"Cleopatra Devil","PG-13","Parents Strongly Cautioned"
"Clerks Angels","G","General Audiences"
"Clockwork Paradise","PG-13","Parents Strongly Cautioned"
"Clones Pinocchio","R","Restricted"
"Closer Bang","R","Restricted"
"Club Graffiti","PG-13","Parents Strongly Cautioned"
"Clue Grail","NC-17","Adults Only"
"Clueless Bucket","R","Restricted"
"Clyde Theory","PG-13","Parents Strongly Cautioned"
"Coast Rainbow","PG","Parental Guidance Suggested"
"Coldblooded Darling","G","General Audiences"
"Color Philadelphia","G","General Audiences"
"Coma Head","NC-17","Adults Only"
"Comancheros Enemy","R","Restricted"
"Comforts Rush","NC-17","Adults Only"
"Command Darling","PG-13","Parents Strongly Cautioned"
"Commandments Express","R","Restricted"
"Coneheads Smoochy","NC-17","Adults Only"
"Confessions Maguire","PG-13","Parents Strongly Cautioned"
"Confidential Interview","NC-17","Adults Only"
"Confused Candles","PG-13","Parents Strongly Cautioned"
"Congeniality Quest","PG-13","Parents Strongly Cautioned"
"Connecticut Tramp","R","Restricted"
"Connection Microcosmos","G","General Audiences"
"Conquerer Nuts","G","General Audiences"
"Conspiracy Spirit","PG-13","Parents Strongly Cautioned"
"Contact Anonymous","PG-13","Parents Strongly Cautioned"
"Control Anthem","G","General Audiences"
"Conversation Downhill","R","Restricted"
"Core Suit","PG-13","Parents Strongly Cautioned"
"Cowboy Doom","PG","Parental Guidance Suggested"
"Craft Outfield","NC-17","Adults Only"
"Cranes Reservoir","NC-17","Adults Only"
"Crazy Home","PG","Parental Guidance Suggested"
"Creatures Shakespeare","NC-17","Adults Only"
"Creepers Kane","NC-17","Adults Only"
"Crooked Frogmen","PG-13","Parents Strongly Cautioned"
"Crossing Divorce","R","Restricted"
"Crossroads Casualties","G","General Audiences"
"Crow Grease","PG","Parental Guidance Suggested"
"Crowds Telemark","R","Restricted"
"Cruelty Unforgiven","G","General Audiences"
"Crusade Honey","R","Restricted"
"Crystal Breaking","NC-17","Adults Only"
"Cupboard Sinners","R","Restricted"
"Curtain Videotape","PG-13","Parents Strongly Cautioned"
"Cyclone Family","PG","Parental Guidance Suggested"
"Daddy Pittsburgh","G","General Audiences"
"Daisy Menagerie","G","General Audiences"
"Dalmations Sweden","PG","Parental Guidance Suggested"
"Dances None","NC-17","Adults Only"
"Dancing Fever","G","General Audiences"
"Dangerous Uptown","PG","Parental Guidance Suggested"
"Dares Pluto","PG-13","Parents Strongly Cautioned"
"Darkness War","NC-17","Adults Only"
"Darko Dorado","NC-17","Adults Only"
"Darling Breaking","PG-13","Parents Strongly Cautioned"
"Darn Forrester","G","General Audiences"
"Date Speed","R","Restricted"
"Daughter Madigan","PG-13","Parents Strongly Cautioned"
"Dawn Pond","PG","Parental Guidance Suggested"
"Day Unfaithful","G","General Audiences"
"Dazed Punk","G","General Audiences"
"Deceiver Betrayed","NC-17","Adults Only"
"Deep Crusade","PG-13","Parents Strongly Cautioned"
"Deer Virginian","NC-17","Adults Only"
"Deliverance Mulholland","R","Restricted"
"Desert Poseidon","R","Restricted"
"Desire Alien","NC-17","Adults Only"
"Desperate Trainspotting","G","General Audiences"
"Destination Jerk","PG-13","Parents Strongly Cautioned"
"Destiny Saturday","G","General Audiences"
"Details Packer","R","Restricted"
"Detective Vision","PG-13","Parents Strongly Cautioned"
"Devil Desire","R","Restricted"
"Diary Panic","G","General Audiences"
"Dinosaur Secretary","R","Restricted"
"Dirty Ace","NC-17","Adults Only"
"Disciple Mother","PG","Parental Guidance Suggested"
"Disturbing Scarface","R","Restricted"
"Divide Monster","PG-13","Parents Strongly Cautioned"
"Divine Resurrection","R","Restricted"
"Divorce Shining","G","General Audiences"
"Doctor Grail","G","General Audiences"
"Dogma Family","G","General Audiences"
"Dolls Rage","PG-13","Parents Strongly Cautioned"
"Donnie Alley","NC-17","Adults Only"
"Doom Dancing","R","Restricted"
"Doors President","NC-17","Adults Only"
"Dorado Notting","NC-17","Adults Only"
"Double Wrath","R","Restricted"
"Doubtfire Labyrinth","R","Restricted"
"Downhill Enough","G","General Audiences"
"Dozen Lion","NC-17","Adults Only"
"Dracula Crystal","G","General Audiences"
"Dragon Squad","NC-17","Adults Only"
"Dragonfly Strangers","NC-17","Adults Only"
"Dream Pickup","PG","Parental Guidance Suggested"
"Drifter Commandments","PG-13","Parents Strongly Cautioned"
"Driver Annie","PG-13","Parents Strongly Cautioned"
"Driving Polish","NC-17","Adults Only"
"Drop Waterfront","R","Restricted"
"Drumline Cyclone","G","General Audiences"
"Drums Dynamite","PG","Parental Guidance Suggested"
"Duck Racer","NC-17","Adults Only"
"Dude Blindness","G","General Audiences"
"Duffel Apocalypse","G","General Audiences"
"Dumbo Lust","NC-17","Adults Only"
"Durham Panky","R","Restricted"
"Dwarfs Alter","G","General Audiences"
"Dying Maker","PG","Parental Guidance Suggested"
"Dynamite Tarzan","PG-13","Parents Strongly Cautioned"
"Eagles Panky","NC-17","Adults Only"
"Early Home","NC-17","Adults Only"
"Earring Instinct","R","Restricted"
"Earth Vision","NC-17","Adults Only"
"Easy Gladiator","G","General Audiences"
"Edge Kissing","NC-17","Adults Only"
"Effect Gladiator","PG","Parental Guidance Suggested"
"Egg Igby","PG","Parental Guidance Suggested"
"Egypt Tenenbaums","PG","Parental Guidance Suggested"
"Element Freddy","NC-17","Adults Only"
"Elephant Trojan","PG-13","Parents Strongly Cautioned"
"Elf Murder","NC-17","Adults Only"
"Elizabeth Shane","NC-17","Adults Only"
"Empire Malkovich","G","General Audiences"
"Encino Elf","G","General Audiences"
"Encounters Curtain","NC-17","Adults Only"
"Ending Crowds","NC-17","Adults Only"
"Enemy Odds","NC-17","Adults Only"
"English Bulworth","PG-13","Parents Strongly Cautioned"
"Enough Raging","NC-17","Adults Only"
"Entrapment Satisfaction","R","Restricted"
"Escape Metropolis","R","Restricted"
"Eve Resurrection","G","General Audiences"
"Everyone Craft","PG","Parental Guidance Suggested"
"Evolution Alter","PG-13","Parents Strongly Cautioned"
"Excitement Eve","G","General Audiences"
"Exorcist Sting","G","General Audiences"
"Expecations Natural","PG-13","Parents Strongly Cautioned"
"Expendable Stallion","PG","Parental Guidance Suggested"
"Express Lonely","R","Restricted"
"Extraordinary Conquerer","G","General Audiences"
"Eyes Driving","PG-13","Parents Strongly Cautioned"
"Factory Dragon","PG-13","Parents Strongly Cautioned"
"Falcon Volume","PG-13","Parents Strongly Cautioned"
"Family Sweet","R","Restricted"
"Fantasia Park","G","General Audiences"
"Fantasy Troopers","PG-13","Parents Strongly Cautioned"
"Fargo Gandhi","G","General Audiences"
"Fatal Haunted","PG","Parental Guidance Suggested"
"Feathers Metal","PG-13","Parents Strongly Cautioned"
"Fellowship Autumn","NC-17","Adults Only"
"Ferris Mother","PG","Parental Guidance Suggested"
"Feud Frogmen","R","Restricted"
"Fever Empire","R","Restricted"
"Fiction Christmas","PG","Parental Guidance Suggested"
"Fiddler Lost","R","Restricted"
"Fidelity Devil","G","General Audiences"
"Fight Jawbreaker","R","Restricted"
"Finding Anaconda","R","Restricted"
"Fire Wolves","R","Restricted"
"Fireball Philadelphia","PG","Parental Guidance Suggested"
"Firehouse Vietnam","G","General Audiences"
"Fish Opus","R","Restricted"
"Flamingos Connecticut","PG-13","Parents Strongly Cautioned"
"Flash Wars","NC-17","Adults Only"
"Flatliners Killer","G","General Audiences"
"Flight Lies","R","Restricted"
"Flintstones Happiness","PG-13","Parents Strongly Cautioned"
"Floats Garden","PG-13","Parents Strongly Cautioned"
"Flying Hook","NC-17","Adults Only"
"Fool Mockingbird","PG","Parental Guidance Suggested"
"Forever Candidate","NC-17","Adults Only"
"Forrest Sons","R","Restricted"
"Forrester Comancheros","NC-17","Adults Only"
"Forward Temple","NC-17","Adults Only"
"Frankenstein Stranger","NC-17","Adults Only"
"Freaky Pocus","R","Restricted"
"Freddy Storm","NC-17","Adults Only"
"Freedom Cleopatra","PG-13","Parents Strongly Cautioned"
"French Holiday","PG","Parental Guidance Suggested"
"Frida Slipper","R","Restricted"
"Frisco Forrest","PG","Parental Guidance Suggested"
"Frogmen Breaking","R","Restricted"
"Frontier Cabin","PG-13","Parents Strongly Cautioned"
"Frost Head","PG","Parental Guidance Suggested"
"Fugitive Maguire","R","Restricted"
"Full Flatliners","PG","Parental Guidance Suggested"
"Fury Murder","PG-13","Parents Strongly Cautioned"
"Gables Metropolis","PG","Parental Guidance Suggested"
"Galaxy Sweethearts","R","Restricted"
"Games Bowfinger","PG-13","Parents Strongly Cautioned"
"Gandhi Kwai","PG-13","Parents Strongly Cautioned"
"Gangs Pride","PG-13","Parents Strongly Cautioned"
"Garden Island","G","General Audiences"
"Gaslight Crusade","PG","Parental Guidance Suggested"
"Gathering Calendar","PG-13","Parents Strongly Cautioned"
"Gentlemen Stage","NC-17","Adults Only"
"Ghost Groundhog","G","General Audiences"
"Ghostbusters Elf","R","Restricted"
"Giant Troopers","R","Restricted"
"Gilbert Pelican","G","General Audiences"
"Gilmore Boiled","R","Restricted"
"Gladiator Westward","PG","Parental Guidance Suggested"
"Glass Dying","G","General Audiences"
"Gleaming Jawbreaker","NC-17","Adults Only"
"Glory Tracy","PG-13","Parents Strongly Cautioned"
"Go Purple","R","Restricted"
"Godfather Diary","NC-17","Adults Only"
"Gold River","R","Restricted"
"Goldfinger Sensibility","G","General Audiences"
"Goldmine Tycoon","R","Restricted"
"Gone Trouble","R","Restricted"
"Goodfellas Salute","PG","Parental Guidance Suggested"
"Gorgeous Bingo","R","Restricted"
"Gosford Donnie","G","General Audiences"
"Graceland Dynamite","R","Restricted"
"Graduate Lord","G","General Audiences"
"Graffiti Love","PG","Parental Guidance Suggested"
"Grail Frankenstein","NC-17","Adults Only"
"Grapes Fury","G","General Audiences"
"Grease Youth","G","General Audiences"
"Greatest North","NC-17","Adults Only"
"Greedy Roots","R","Restricted"
"Greek Everyone","PG","Parental Guidance Suggested"
"Grinch Massage","R","Restricted"
"Grit Clockwork","PG","Parental Guidance Suggested"
"Groove Fiction","NC-17","Adults Only"
"Grosse Wonderful","R","Restricted"
"Groundhog Uncut","PG-13","Parents Strongly Cautioned"
"Gump Date","NC-17","Adults Only"
"Gun Bonnie","G","General Audiences"
"Gunfight Moon","NC-17","Adults Only"
"Gunfighter Mussolini","PG-13","Parents Strongly Cautioned"
"Guys Falcon","R","Restricted"
"Half Outfield","PG-13","Parents Strongly Cautioned"
"Hall Cassidy","NC-17","Adults Only"
"Halloween Nuts","PG-13","Parents Strongly Cautioned"
"Hamlet Wisdom","R","Restricted"
"Handicap Boondock","R","Restricted"
"Hanging Deep","G","General Audiences"
"Hanky October","NC-17","Adults Only"
"Hanover Galaxy","NC-17","Adults Only"
"Happiness United","G","General Audiences"
"Hardly Robbers","R","Restricted"
"Harold French","NC-17","Adults Only"
"Harper Dying","G","General Audiences"
"Harry Idaho","PG-13","Parents Strongly Cautioned"
"Hate Handicap","PG","Parental Guidance Suggested"
"Haunted Antitrust","NC-17","Adults Only"
"Haunting Pianist","R","Restricted"
"Hawk Chill","PG-13","Parents Strongly Cautioned"
"Head Stranger","R","Restricted"
"Heartbreakers Bright","G","General Audiences"
"Heaven Freedom","PG","Parental Guidance Suggested"
"Heavenly Gun","NC-17","Adults Only"
"Heavyweights Beast","G","General Audiences"
"Hedwig Alter","NC-17","Adults Only"
"Hellfighters Sierra","PG","Parental Guidance Suggested"
"High Encino","R","Restricted"
"Highball Potter","R","Restricted"
"Hills Neighbors","G","General Audiences"
"Hobbit Alien","PG-13","Parents Strongly Cautioned"
"Hocus Frida","G","General Audiences"
"Holes Brannigan","PG","Parental Guidance Suggested"
"Holiday Games","PG-13","Parents Strongly Cautioned"
"Hollow Jeopardy","NC-17","Adults Only"
"Hollywood Anonymous","PG","Parental Guidance Suggested"
"Holocaust Highball","R","Restricted"
"Holy Tadpole","R","Restricted"
"Home Pity","R","Restricted"
"Homeward Cider","R","Restricted"
"Homicide Peach","PG-13","Parents Strongly Cautioned"
"Honey Ties","R","Restricted"
"Hook Chariots","G","General Audiences"
"Hoosiers Birdcage","G","General Audiences"
"Hope Tootsie","NC-17","Adults Only"
"Horn Working","PG","Parental Guidance Suggested"
"Horror Reign","R","Restricted"
"Hotel Happiness","PG-13","Parents Strongly Cautioned"
"Hours Rage","NC-17","Adults Only"
"House Dynamite","R","Restricted"
"Human Graffiti","NC-17","Adults Only"
"Hunchback Impossible","PG-13","Parents Strongly Cautioned"
"Hunger Roof","G","General Audiences"
"Hunter Alter","PG-13","Parents Strongly Cautioned"
"Hunting Musketeers","NC-17","Adults Only"
"Hurricane Affair","PG","Parental Guidance Suggested"
"Hustler Party","NC-17","Adults Only"
"Hyde Doctor","G","General Audiences"
"Hysterical Grail","PG","Parental Guidance Suggested"
"Ice Crossing","R","Restricted"
"Idaho Love","PG-13","Parents Strongly Cautioned"
"Identity Lover","PG-13","Parents Strongly Cautioned"
"Idols Snatchers","NC-17","Adults Only"
"Igby Maker","NC-17","Adults Only"
"Illusion Amelie","R","Restricted"
"Image Princess","PG-13","Parents Strongly Cautioned"
"Impact Aladdin","PG-13","Parents Strongly Cautioned"
"Impossible Prejudice","NC-17","Adults Only"
"Inch Jet","NC-17","Adults Only"
"Independence Hotel","NC-17","Adults Only"
"Indian Love","NC-17","Adults Only"
"Informer Double","NC-17","Adults Only"
"Innocent Usual","PG-13","Parents Strongly Cautioned"
"Insects Stone","NC-17","Adults Only"
"Insider Arizona","NC-17","Adults Only"
"Instinct Airport","PG","Parental Guidance Suggested"
"Intentions Empire","PG-13","Parents Strongly Cautioned"
"Interview Liaisons","R","Restricted"
"Intolerable Intentions","PG-13","Parents Strongly Cautioned"
"Intrigue Worst","G","General Audiences"
"Invasion Cyclone","PG","Parental Guidance Suggested"
"Iron Moon","PG","Parental Guidance Suggested"
"Ishtar Rocketeer","R","Restricted"
"Island Exorcist","NC-17","Adults Only"
"Italian African","G","General Audiences"
"Jacket Frisco","PG-13","Parents Strongly Cautioned"
"Jade Bunch","NC-17","Adults Only"
"Japanese Run","G","General Audiences"
"Jason Trap","NC-17","Adults Only"
"Jawbreaker Brooklyn","PG","Parental Guidance Suggested"
"Jaws Harry","G","General Audiences"
"Jedi Beneath","PG","Parental Guidance Suggested"
"Jeepers Wedding","R","Restricted"
"Jekyll Frogmen","PG","Parental Guidance Suggested"
"Jeopardy Encino","R","Restricted"
"Jericho Mulan","NC-17","Adults Only"
"Jerk Paycheck","NC-17","Adults Only"
"Jersey Sassy","PG","Parental Guidance Suggested"
"Jet Neighbors","R","Restricted"
"Jingle Sagebrush","PG-13","Parents Strongly Cautioned"
"Joon Northwest","NC-17","Adults Only"
"Juggler Hardly","PG-13","Parents Strongly Cautioned"
"Jumanji Blade","G","General Audiences"
"Jumping Wrath","NC-17","Adults Only"
"Jungle Closer","NC-17","Adults Only"
"Kane Exorcist","R","Restricted"
"Karate Moon","PG-13","Parents Strongly Cautioned"
"Kentuckian Giant","PG","Parental Guidance Suggested"
"Kick Savannah","PG-13","Parents Strongly Cautioned"
"Kill Brotherhood","G","General Audiences"
"Killer Innocent","R","Restricted"
"King Evolution","NC-17","Adults Only"
"Kiss Glory","PG-13","Parents Strongly Cautioned"
"Kissing Dolls","R","Restricted"
"Knock Warlock","PG-13","Parents Strongly Cautioned"
"Kramer Chocolate","R","Restricted"
"Kwai Homeward","PG-13","Parents Strongly Cautioned"
"Labyrinth League","PG-13","Parents Strongly Cautioned"
"Lady Stage","PG","Parental Guidance Suggested"
"Ladybugs Armageddon","NC-17","Adults Only"
"Lambs Cincinatti","PG-13","Parents Strongly Cautioned"
